dancer_id,events_2025,events_total,dancer_name
14487,23,39,Kristen Wallace
20700,21,32,Mackenzie Keister
11759,21,38,Sebastian Quinones
17182,20,31,Noelle Hoeppner
20512,20,39,Keerigan Rudd
12417,19,33,Joseph Tong
11629,19,31,Igor Pitangui
22890,19,22,Mathias Mendillo
13295,18,35,Joshua Schubert
8344,17,33,Zachary Skinner
17737,17,22,Shayla Bouise
17340,16,28,Stefanie Tschom
22004,16,35,Trenten Jackson
21515,16,23,Camille Picano
10672,16,37,Thibault Ramirez
20974,16,19,Dario Haxhia
14186,16,32,Aymeline Felmy
18932,16,22,Florian Hamm
23919,16,18,Alvaro Hilario Garcia
22932,16,24,Tatiana Doldonova
8282,15,26,Sharon Her
15581,15,27,Attila Kobori
18652,15,18,Eduardo Nunez
22414,15,20,Hanna Junk
9363,15,39,Bryn Anderson
20832,15,28,Christina Landowski
12424,15,40,Mia Pastor
11262,15,41,Anna Wallace
6207,15,44,Nicole Ramirez
16369,14,30,Branden Strong
17955,14,24,Sebastian Gerwald
13528,14,29,Haley Hauglum
9062,14,29,Mathieu Compagnon
10719,14,28,Elizabeth Spann
12089,14,44,Fernanda Dubiel
12842,14,30,Sam Vaden
11267,14,38,Za Thomaier
17954,13,24,Tobias Gerwald
22161,13,25,Brandon Julian
9140,13,26,Maddy Skinner
13962,13,31,Philippe Amar
20920,13,18,Brittany Richardson
24792,13,13,Red Elghazi
11491,13,33,Brooklyn Lanham
18516,13,29,Neil Joshi
17630,13,25,Arantxa Lebon
15530,12,35,Alexandra Branco
23436,12,14,Jasmine Morrison
9806,12,35,Hannah Guttman
14098,12,21,Jeffrey Wingo
19817,12,16,Fabio Zanardelli
21685,12,20,Vicky Vasiliauskaite
12638,12,40,Ken Rutland
12183,12,35,Maria Bileychik
20835,12,21,Ngoc Anh Walter
8123,12,33,Margaret Tuttle
13036,12,22,Christine Medin
23163,12,16,Courtney Mejias
21146,12,17,Elise Renwick
22227,12,12,Daniel Curl
16075,12,16,Michael Hassey
23546,12,15,Gaby Sandoval
14601,12,28,Jaden Pfeiffer
6581,12,43,Alyssa McKeever
24909,12,13,Gabe Ofordu
22160,12,26,Corinne Smith
17254,11,33,Vanessa Bachmann
22169,11,19,Bethany DeGraff
