dancer_id,points_2025,dancer_name,points_total
14487,160,Kristen Wallace,411
8344,137,Zachary Skinner,476
11759,125,Sebastian Quinones,336
11629,110,Igor Pitangui,291
20512,105,Keerigan Rudd,374
20700,104,Mackenzie Keister,340
22414,104,Hanna Junk,188
22890,104,Mathias Mendillo,138
17182,102,Noelle Hoeppner,258
15713,102,Clement Turpain,235
21136,96,Charlie Fournier,188
21287,94,Abigail Roach,158
23546,91,Gaby Sandoval,134
16722,91,Alexa Partos,191
19409,90,Elizabeth Wyke,184
12417,89,Joseph Tong,239
23666,88,Sarah Willis,98
14098,87,Jeffrey Wingo,244
10719,87,Elizabeth Spann,357
23256,85,Tom Teramoto,115
21146,84,Elise Renwick,146
20974,81,Dario Haxhia,213
24909,80,Gabe Ofordu,81
18932,79,Florian Hamm,207
9529,79,Elena Kotelnikova,148
11267,78,Za Thomaier,374
19817,78,Fabio Zanardelli,182
23245,78,Macie Sandlin,139
11491,76,Brooklyn Lanham,334
22227,76,Daniel Curl,127
21836,76,Christa Farmer,153
18516,75,Neil Joshi,338
21888,74,Michael Kuss,141
10713,74,Aleksandra Radziejewska,135
22525,73,Elise Holland,160
17340,72,Stefanie Tschom,212
17955,72,Sebastian Gerwald,230
18232,72,Melina Voglhuber,98
12089,71,Fernanda Dubiel,291
17737,71,Shayla Bouise,240
21494,70,Daniel Cruz,155
13962,70,Philippe Amar,242
16075,70,Michael Hassey,107
12424,70,Mia Pastor,282
25755,70,Willow Vander Kooi,85
8123,70,Margaret Tuttle,393
22376,69,Ryan Osbourn,122
12842,68,Sam Vaden,249
21515,68,Camille Picano,137
20920,68,Brittany Richardson,93
24792,68,Red Elghazi,70
24278,67,Nicole Bruner,84
24514,67,William McGregor,75
11262,67,Anna Wallace,354
24225,66,Matvey Grigoriev,67
24621,65,Julien Espagnet,71
20209,64,Alexander Nguyen,156
22987,63,Tatiana Kaneva,88
23163,63,Courtney Mejias,86
14415,63,Florencia Diaz,131
24864,62,Matthew Casillas,68
25021,62,Polina Khapaeva,62
6207,61,Nicole Ramirez,414
9140,61,Maddy Skinner,221
21486,60,Andrea Gomez,95
11649,59,Lindsay Mistretta,298
13295,59,Joshua Schubert,184
22268,59,Vincent Roubadia,88
14691,58,Tina Kronberg,97
25092,58,Tori Oelsen,58
20835,58,Ngoc Anh Walter,170
16839,57,Eliot Heinrich,151
24516,57,Una Kacavenda,67
18652,57,Eduardo Nunez,97
15581,57,Attila Kobori,252
13036,57,Christine Medin,226
21685,57,Vicky Vasiliauskaite,114
14601,57,Jaden Pfeiffer,188
