dancer_id,wins_2025,wins_total,dancer_name
8344,14,55,Zachary Skinner
6207,10,26,Nicole Ramirez
11629,7,20,Igor Pitangui
11759,7,28,Sebastian Quinones
17955,6,13,Sebastian Gerwald
13110,6,15,Allan Thivoz
10713,6,6,Aleksandra Radziejewska
17340,5,12,Stefanie Tschom
9140,5,21,Maddy Skinner
11819,5,14,Dianeva Poirson
10672,5,30,Thibault Ramirez
20700,5,16,Mackenzie Keister
14487,5,11,Kristen Wallace
12638,5,22,Ken Rutland
17182,5,12,Noelle Hoeppner
20512,5,22,Keerigan Rudd
13962,5,14,Philippe Amar
20974,4,11,Dario Haxhia
21287,4,6,Abigail Roach
22414,4,7,Hanna Junk
15713,4,12,Clement Turpain
14098,4,9,Jeffrey Wingo
12808,4,4,Althea Lew
7258,4,31,Sheven Kekoolani
13295,4,8,Joshua Schubert
17343,4,11,Isaiah Tingus
16959,4,4,Jerome Speck
9139,4,6,Paiton Hebert
22890,4,4,Mathias Mendillo
18560,4,6,Aless Tondolo
10440,4,26,Daniel Pavlov
12417,3,8,Joseph Tong
24864,3,3,Matthew Casillas
14186,3,9,Aymeline Felmy
11058,3,6,Rosemary Whitson
23579,3,3,Dominik Kóbor
12842,3,10,Sam Vaden
21587,3,3,Payten Rudd
14201,3,15,Pavel Katunin
7589,3,14,Miguel Ortega
21302,3,7,Lorenzo Valerio La Pietra
12739,3,7,Teemu Lujala
25753,3,3,Lucas Frassrand
21515,3,7,Camille Picano
10273,3,10,Savana Barreau
22798,3,4,Miranda Lisowski
18932,3,5,Florian Hamm
24225,3,3,Matvey Grigoriev
6236,3,9,Heejung Jung
14022,3,8,Ekaterina Gorianaya
24792,3,3,Red Elghazi
14024,3,11,Omaid Karimi
23245,3,3,Macie Sandlin
6581,3,27,Alyssa McKeever
22529,3,3,Jess Skjonsby
24458,3,3,Adam Hendrawan
19817,3,8,Fabio Zanardelli
21486,3,4,Andrea Gomez
10175,3,19,Joel Torgeson
25755,3,4,Willow Vander Kooi
20300,3,5,Joscha Brick
7202,3,24,Janelle Guido
14209,3,18,Mackenzie Sharp
19457,3,10,Lotte Meier
21146,3,4,Elise Renwick
18516,3,14,Neil Joshi
3125,3,48,Ben Morris
14601,3,6,Jaden Pfeiffer
11162,3,20,Maina Vila Cobarsi
23832,3,3,Marcus Moström
22061,3,5,Jess Mar
15530,3,12,Alexandra Branco
19048,3,3,Carla Crowen
15581,3,16,Attila Kobori
23787,3,4,Spencer Gyore
8419,3,8,Thomas Clyde
11433,3,14,Jakub Jakoubek
23464,3,3,Filippa Lange
11649,3,11,Lindsay Mistretta
14746,3,5,Pauline Charbogne
14379,3,8,Grant Walker
12089,3,12,Fernanda Dubiel
12106,3,16,Ilmira Galieva
19404,3,10,Evan Schreiber
14415,3,4,Florencia Diaz
22245,3,5,Justin Kereszturi
22171,3,3,Daniella Robichaud
20514,3,4,Katie Jensen
15980,2,6,Reetta Koivuniemi
22779,2,2,Sean Callahan
15201,2,24,Jula Palenga
20209,2,6,Alexander Nguyen
15280,2,5,Chloe Winzar
15518,2,2,Paula Benitez
25897,2,2,Sydney Thomas
20014,2,3,Steve Fitz
15914,2,5,Anna Niedzialek
24776,2,2,Alex Acevedo
25439,2,2,Lennard Selli
25940,2,2,André Zenzmaier
24696,2,2,Olga Mikheeva
20063,2,3,Anastasiya Ivanova
16369,2,9,Branden Strong
22878,2,6,Egan Anselmo
25979,2,2,Romana Břízová
24547,2,2,Gage Abernathy
20188,2,4,Julio Alvarez
21286,2,4,Kayla Coghlan
15381,2,5,Artem Lebsak
15606,2,15,Dimitri Hector
24708,2,2,Konstantin Salin
20165,2,4,Monika Drzewiecka
16307,2,6,Robin Lysaker
21533,2,4,Casey Bender
16672,2,3,Lauren Bellenbaum
18448,2,6,Estelle Chardonnens
24909,2,2,Gabe Ofordu
19302,2,5,Charlotte Forster
22112,2,4,Josh Safiniuk
18041,2,5,Ilyas Galiev
21676,2,3,Fiore Marra
18215,2,4,Fran Vidal
18232,2,2,Melina Voglhuber
22004,2,12,Trenten Jackson
26300,2,2,Gretchen Smith
21713,2,3,Ting Lu
18987,2,5,Aleix Figueras
26243,2,2,Tytus Thornton
18941,2,3,Charlotte Marbus
21888,2,4,Michael Kuss
21886,2,6,Connor Akers
18566,2,2,Chloe Ourties
25093,2,2,Mackenzie Singer
18580,2,5,Rafal Grzelak
18627,2,3,Kevin Adu
18652,2,3,Eduardo Nunez
21829,2,2,Neel Raj
18665,2,6,Michelle Braun
22160,2,6,Corinne Smith
17843,2,10,Anja Riste
22568,2,3,Fedor Mayboroda
20254,2,2,Kyle Monahan
22567,2,5,Vasiliy Skurydin
16839,2,5,Eliot Heinrich
16887,2,3,Maria Niedzialek
22536,2,5,Trevor Hayes
21422,2,3,Jeren Kutcher
22493,2,2,Valerie Udier
21504,2,3,Lukas Weiß
22452,2,3,Etienne Joseph Charles
17223,2,2,Henry Phan
22437,2,5,Jing Huang
22425,2,3,Philipp Winking
17737,2,8,Shayla Bouise
25302,2,2,Agnieszka Mentel
17339,2,9,Ivan Katrunov
22376,2,3,Ryan Osbourn
17445,2,2,Ewelina Lapinska
22320,2,2,Maxim Popov
25288,2,2,Luke Applin
19443,2,3,Grainne Farrell
21617,2,2,Joseph Geluz
22289,2,2,Silas Oakland
19409,2,5,Elizabeth Wyke
15178,2,3,Antoine Cantin
20314,2,3,Aaron Didner
21228,2,2,Christoph Kunit
13530,2,4,Alli Reese
20687,2,2,Kelsey Gonzales
21034,2,4,Veronica Davis
21068,2,2,Hai Phan
12366,2,4,Fran Carroll
7835,2,3,Jacob Pernell
24068,2,3,Julia Kereszturi
20604,2,2,Kai Ploeger
25537,2,2,Alexis Dolgoff
24103,2,2,Caio Botelho
12629,2,8,Océane Even
21225,2,3,Tobias Heinlein
24104,2,2,Vincent Meyer
23308,2,2,Fabian Thumshirn
20585,2,5,Luca Schnoor
7299,2,28,Hugo Miguez
12916,2,4,Anna Gruszczynska
7180,2,9,Katrina Ostrenski
13036,2,12,Christine Medin
25528,2,2,Josh Hartnett
6916,2,11,Shanna Porcari
23269,2,4,Eva Blakney
1333,2,15,Brandi Tobias
13463,2,8,Reasmey Tith
8123,2,12,Margaret Tuttle
8173,2,19,Artur Radzikhovsky
23425,2,4,Chloe Christine
10632,2,4,Jordan Fox
