dancer_id,events_2025,events_total,dancer_name
7592,10,42,Marina Motronenko
22573,9,9,Marina Kondrateva
9529,9,24,Elena Kotelnikova
20719,9,15,Anastasiya Yuzhakova
10440,9,46,Daniel Pavlov
20716,8,14,Ekaterina Grigorieva
19990,7,9,Natalya Bykova
12763,7,20,Yuri Erokhin
25021,6,6,Polina Khapaeva
19577,6,12,Arina Fedorova
12329,6,12,Pavel Kozlov
22986,6,8,Kalaychidi Vladislav
22987,6,7,Tatiana Kaneva
9210,6,30,Olga Khvan
22567,6,7,Vasiliy Skurydin
10755,6,14,Andrey Shenayev
20705,6,6,Klim Borisov
13603,6,11,Artem Shapovalov
12767,6,9,Margarita Perepelkina
21381,6,6,Anna Zhukova
20002,6,6,Oleg Fabritskiy
20059,6,9,Timofei Ejov
24895,5,5,Anton Zverev
15381,5,8,Artem Lebsak
12106,5,21,Ilmira Galieva
12652,5,10,Anastasia Telegina
22569,5,6,Dmitriy Panov
24709,5,5,Anton Sochnev
10762,5,16,Elena Logashina
22184,5,7,Anastasiya Lishtovnaya
25590,5,5,Yevgeniy Borisov
25592,5,5,Marina Girina
8173,5,19,Artur Radzikhovsky
14022,5,10,Ekaterina Gorianaya
18055,5,5,Anastasiya Andreyeva
23310,5,9,Anastasia Vanekhina
20063,5,7,Anastasiya Ivanova
22870,5,7,Alisa Kuznetsova
24397,4,6,Arina Apetyan
17573,4,9,Maria Arkhandopulo
18041,4,11,Ilyas Galiev
21087,4,5,Mikhail Shufer
20714,4,5,Viacheslav Volkov
19101,4,5,Tatlyana Boykova
23757,4,5,Aleksandr Patutinskiy
23452,4,9,Yanna Zhdankina
19982,4,5,Olga Aziattseva
19987,4,6,Tatiana Schmidt
19996,4,6,Mikhail Borisov
20057,4,10,Boris Sizov
25020,4,4,Sergey Lisitsyn
13804,4,5,Nina Bondar'
13645,4,10,II'ya Melikhov
26224,4,4,Maria Chicheleva
24724,4,4,Mariia Ilina
14201,4,19,Pavel Katunin
16632,4,12,Anastasia Andreeva
25593,4,4,Olga Lisitsyna
10081,4,13,Maxim Feoktistov
15367,4,13,Yevgeniya Karachentsova
24707,4,4,Roman Yelagin
23444,3,3,Artur Gareev
23453,3,3,Tamara Battalova
7599,3,25,Katia Avlasevich
23440,3,4,Alena Ivanova
20062,3,7,Anna Danilova
20143,3,6,Zarina Babaeva
26223,3,3,Svetlana Prosina
20286,3,9,Svetlana Egorshina
22568,3,4,Fedor Mayboroda
21090,3,8,Gulnaz Ubaseva
20721,3,6,Julia Kapustina
12451,3,13,Olga Zenko
13701,3,9,Olesya Ulanova
13608,3,12,Yuliya Shapovalova
12122,3,15,Anna Morozova
21964,3,3,Alyona Shcherbakova
17570,3,12,Natallia Mironova
22035,3,3,Aleksandr Parfenenko
24696,3,4,Olga Mikheeva
24703,3,3,Ellina Zorina
16036,3,5,Larisa Bratkovskaya
19058,3,4,Svetlana Tuktarova
23756,3,3,Yuriy Ovodov
16040,3,8,Aydar Tukayev
26614,3,3,Dmitriy Zakharov
15593,3,10,Nina Yershova
10757,3,6,Andrey Ushakov
22185,3,5,Liliya Latyipova
23845,3,4,Anastasiya Barkova
25591,2,2,Natalya Vetchinova
23844,2,3,Anton Matveev
24891,2,2,Marina Tikhonova
23752,2,2,Irina Dorogan
24708,2,3,Konstantin Salin
24164,2,2,Sichinskaya Anna
24162,2,4,Dmitrieva Mari
24710,2,2,Lyubov Berdnikova
24711,2,2,Nataliya Babak
24712,2,2,Darya Fomchenko
22980,2,3,Alena Abrazhenina
26057,2,2,Varya Khavtorina
22817,2,3,Aleksei Pushkarev
25019,2,2,Yevgeniy Rzhevskiy
25013,2,2,Solonkina Mariya
23450,2,2,Marina Duplina
23449,2,5,Sergey Zabolotnyy
26219,2,2,Nikita Parichuk
17540,2,7,Igor Ejov
20009,2,3,Mikhail Lebedev
19997,2,9,Igor Gorodnichev
17656,2,8,Konstantin Vorobyev
12103,2,8,Aleksandr Pchelkin
20711,2,3,Ilya Duplin
12333,2,5,Yelizaveta Ivanova
13810,2,6,Vasily Zaytsev
13811,2,7,Yekaterina Kurganova
19050,2,5,Alexander Borisenko
19233,2,6,Ilya Ustinov
14213,2,25,Raushaniya Maksudova
19861,2,3,Elvira Gafarova
19690,2,5,Mikhail Yermakov
13621,2,9,Ekaterina Gayday
16637,2,5,Oksana Boyko
11200,2,11,Vitaliy Zakharov
11349,2,11,Marina Shenayeva
16091,2,15,Anastasiia Babakhan
9523,2,10,Gul'nara Arkhipova
9724,2,20,Semion Ovsiannikov
21218,2,5,Ruslan Mukmenzyanov
21220,2,6,Anna Spiridonova
11027,2,18,Aleksandr Rozhkov
16236,2,5,Karina Jurina
15981,2,11,Pavel Levchenko
26214,1,1,Zoia Tepponen
26215,1,1,Valentina Sergina
26217,1,1,Irina Baskakova
26216,1,1,Aleksandra Smirnova
26213,1,1,Taisiya Afanasyeva
26212,1,1,Anastasiya Sokolskaya
26211,1,1,Yana Vaseva
26210,1,1,Anastasiya Osminina
26209,1,1,Irina Tkach
26199,1,1,Larisa Zvyagintseva
26208,1,1,Alexandra Kleymenova
26207,1,1,Aleksandr Kharitonov
26206,1,1,Vyacheslav Korzhov
26205,1,1,Vlad Zheludov
26204,1,1,Mikhail Kuznetsov
26203,1,1,Sergey Avramenko
26202,1,1,Daniil Baskakov
26201,1,1,Nikolay Makhalin
26200,1,1,Alexander Linev
26198,1,1,Dmitriy Bursh
26218,1,1,Kristina Yakubova
26220,1,1,Arina Aleksandrova
26221,1,1,Ksenia Chichay
26222,1,1,Maria Ushakova
9521,1,27,Daria Komkina
9110,1,19,Anastasia Lokshina
9731,1,11,Alexander Mikitin
8177,1,31,Irina Puzanova
26050,1,1,Alisa Petrushina
26051,1,1,Albina Gaynutdinova
26052,1,1,Kalimullin Rinat
26053,1,1,Irina Tuchinskaya
26054,1,1,Yana Zachupeyko
26055,1,1,Marina Chinenova
26056,1,1,Ed Shevchenko
27229,1,1,Andrey Popov
27228,1,1,Dmitriy Kanev
27227,1,1,Yuliya Kuznetsova
27226,1,1,Ulyana Zavyalova
27225,1,1,Olga Komarova
27224,1,1,Anton Nikitin
27223,1,1,Igor Zakharov
27222,1,1,Alexander Pershin
26587,1,1,Aleksandr Timonin
26588,1,1,Artem Shkov
26589,1,1,Tatyana Parfenova
26590,1,1,Ekaterina Ando
27121,1,1,Olga Uskova
26615,1,1,Konstantin Chaikun
26617,1,1,Yevgeniy Perfilyev
26618,1,1,Valentin Figol
27124,1,1,Kseniya Zverkova
27123,1,1,Viktoriya Zabrovskaya
27122,1,1,Aleksey Pavlov
27120,1,1,Mariya Denisova
27119,1,1,Yelena Chernysh
27118,1,1,Maria Nikolaeva
27117,1,1,Anas Davletgareev
27116,1,1,Vladimir Travkin
27115,1,1,ILya Shevcov
20060,1,2,Anastasia Okhapkina
20788,1,2,Maksim Rodionov
20710,1,3,Valeria Zakharchuk
20720,1,4,Maria Kazakova
20722,1,5,Inga Usoltseva
20787,1,6,Denis Gorbanyev
19054,1,8,Anna Os`kina
19239,1,7,Anastasia Sarkeyeva
19858,1,2,Mayya Zhitkova
19863,1,9,Anastasiya Sharamko
19935,1,8,Evgeniya Romanenkova
19985,1,11,Alëna Kozlova
19986,1,8,Pavel Lipatov
19999,1,5,Larisa Masterova
20001,1,4,Yana Litinskaya
20007,1,4,Anna Tsapurina
19291,1,7,Anastasiya Naydenova
22562,1,2,Nikita Morgos
22570,1,3,Ilia Zalivako
22571,1,3,Anastasiya Adamova
22183,1,3,Yelena Malorosiyantseva
21316,1,5,Olga Kim
21379,1,3,Maxim Yatskovskiy
21380,1,4,Yuliya Prokopyeva
21215,1,2,Murat Baychorov
21217,1,6,Yevgeniy Lishtovnyy
22024,1,1,Oleg Kachurin
22034,1,4,Grigoriy Kochnev
22039,1,4,Anastasiya Pilgun
22040,1,2,Nadezhda Zhirikova
22042,1,4,Polina Gerasimenko
13616,1,5,Ekaterina Meleshko
13622,1,7,Azat Khalimov
13497,1,13,Margarita Liapustina
13297,1,13,Elena Shabanova
14203,1,23,Irina Popovichenko
11282,1,6,Aleksandra Kravchenko
10570,1,22,Maria Elizarova
10079,1,23,Konstantin Baranov
10572,1,12,Anna Mischenko
10751,1,12,Aleksey Vorotnikov
12454,1,4,Aleksey Zinchenko
17571,1,3,Ekaterina Yarygina
17572,1,11,Yevgeniya Akhmadeyeva
17099,1,8,Taras Petrenko
17101,1,3,Natal'ya Darayeva
17112,1,12,Maxim Zhukovich
17118,1,10,Viacheslav Grachev
16925,1,6,Aleksey Artemiev
18410,1,5,Dmitriy Kudlay
16924,1,7,Elizaveta Romanova
15705,1,6,Liubov Vasileva
15719,1,6,Alexey Kochev
16092,1,7,Aleksandr Mukhin
16628,1,7,Tatiana Gatsko
16633,1,3,Yelena Fedotova
16636,1,4,Tarnopol'skiy Sergey
16237,1,8,Sofia Volkova
25585,1,1,Yaroslav Podkolzin
25586,1,1,Oleg Vorontsov
25587,1,1,Liana Aminova
25588,1,1,Darya Fedorova
25589,1,1,Valeria Leush
24163,1,2,Safronova Victoria
24704,1,2,Anastasiia Us
23454,1,2,Anna Vladi
23753,1,2,Aleksei Rudovich
23758,1,2,Daria Morozova
23759,1,3,Anastasiya Shvedchikova
23779,1,2,Sergey Yepifantsev
23840,1,2,Nadezhda Tarantina
23842,1,2,Polina Danshina
25018,1,1,Ilona Bozhe
24999,1,1,Eduard Arutyunov
25000,1,1,Roman Lazarev
25001,1,1,Vyacheslav Lozovoy
25002,1,1,Andrei Ivanchenko
25003,1,1,Alisa Lozunova
25004,1,1,Semen Lopashov
25005,1,1,Vladimir Sutkovoy
25006,1,1,Nikolay Neomenko
25007,1,1,Ekaterina Kosheleva
25008,1,1,Aleksandr Kuptsov
25009,1,1,Polina Makhonko
25010,1,1,Mariia Maliavko
25011,1,1,Yekaterina Moshkina
25012,1,1,Dariya Bisovko
25014,1,1,Nadezhda Makova
25015,1,1,Marina Murashkina
25016,1,1,Darʹya Golikova
25017,1,1,Viktoriya Pshek
25022,1,1,Olga Zabolotnaya
25023,1,1,Aleksey Zarubin
