dancer_id,points_2025,dancer_name,points_total
9529,79,Elena Kotelnikova,148
22987,63,Tatiana Kaneva,88
25021,62,Polina Khapaeva,62
22573,44,Marina Kondrateva,54
20719,43,Anastasiya Yuzhakova,117
9210,39,Olga Khvan,207
22986,38,Kalaychidi Vladislav,58
24895,37,Anton Zverev,37
10440,34,Daniel Pavlov,330
20716,33,Ekaterina Grigorieva,85
20705,32,Klim Borisov,36
22569,31,Dmitriy Panov,54
17570,31,Natallia Mironova,118
20002,29,Oleg Fabritskiy,55
12767,29,Margarita Perepelkina,57
19990,28,Natalya Bykova,87
24707,27,Roman Yelagin,42
18055,27,Anastasiya Andreyeva,44
23452,27,Yanna Zhdankina,63
19101,27,Tatlyana Boykova,57
24696,26,Olga Mikheeva,30
22568,26,Fedor Mayboroda,51
7592,26,Marina Motronenko,263
22567,26,Vasiliy Skurydin,80
22184,25,Anastasiya Lishtovnaya,43
20063,25,Anastasiya Ivanova,93
24708,25,Konstantin Salin,26
24724,24,Mariia Ilina,39
20714,23,Viacheslav Volkov,35
12763,23,Yuri Erokhin,78
23310,22,Anastasia Vanekhina,33
19577,22,Arina Fedorova,46
18041,22,Ilyas Galiev,81
16236,21,Karina Jurina,54
16632,21,Anastasia Andreeva,53
24711,21,Nataliya Babak,22
26224,20,Maria Chicheleva,20
23440,19,Alena Ivanova,22
19982,19,Olga Aziattseva,104
24709,19,Anton Sochnev,20
25592,18,Marina Girina,18
21087,18,Mikhail Shufer,48
24703,17,Ellina Zorina,19
14022,17,Ekaterina Gorianaya,136
25590,17,Yevgeniy Borisov,17
20721,17,Julia Kapustina,32
20062,17,Anna Danilova,59
23844,16,Anton Matveev,17
12106,16,Ilmira Galieva,166
12329,16,Pavel Kozlov,69
26220,16,Arina Aleksandrova,16
25020,16,Sergey Lisitsyn,16
27123,15,Viktoriya Zabrovskaya,15
12652,15,Anastasia Telegina,100
26223,15,Svetlana Prosina,15
21316,15,Olga Kim,19
20787,15,Denis Gorbanyev,21
24710,14,Lyubov Berdnikova,26
21090,14,Gulnaz Ubaseva,61
19690,14,Mikhail Yermakov,87
15381,14,Artem Lebsak,77
20720,14,Maria Kazakova,19
19058,13,Svetlana Tuktarova,24
24397,13,Arina Apetyan,22
20057,13,Boris Sizov,43
8173,13,Artur Radzikhovsky,162
13608,13,Yuliya Shapovalova,79
11349,13,Marina Shenayeva,55
26057,13,Varya Khavtorina,13
21381,13,Anna Zhukova,49
10755,13,Andrey Shenayev,142
14201,13,Pavel Katunin,163
25019,13,Yevgeniy Rzhevskiy,13
15367,12,Yevgeniya Karachentsova,132
17571,12,Ekaterina Yarygina,16
10081,12,Maxim Feoktistov,84
17101,12,Natal'ya Darayeva,23
20143,12,Zarina Babaeva,31
22870,12,Alisa Kuznetsova,32
16633,12,Yelena Fedotova,48
23757,11,Aleksandr Patutinskiy,18
23450,11,Marina Duplina,17
16040,11,Aydar Tukayev,51
12333,11,Yelizaveta Ivanova,46
22817,11,Aleksei Pushkarev,27
24891,11,Marina Tikhonova,11
16637,11,Oksana Boyko,37
21220,11,Anna Spiridonova,46
23845,11,Anastasiya Barkova,18
23758,10,Daria Morozova,11
26198,10,Dmitriy Bursh,10
13603,10,Artem Shapovalov,126
20710,10,Valeria Zakharchuk,28
20007,10,Anna Tsapurina,37
25009,10,Polina Makhonko,10
13804,10,Nina Bondar',51
15719,10,Alexey Kochev,24
26208,10,Alexandra Kleymenova,10
17099,10,Taras Petrenko,65
24999,10,Eduard Arutyunov,10
16924,10,Elizaveta Romanova,54
12122,10,Anna Morozova,84
11200,10,Vitaliy Zakharov,118
14213,9,Raushaniya Maksudova,128
