dancer_id,wins_2025,wins_total,dancer_name
10440,4,26,Daniel Pavlov
14201,3,15,Pavel Katunin
14022,3,8,Ekaterina Gorianaya
12106,3,16,Ilmira Galieva
24696,2,2,Olga Mikheeva
20063,2,3,Anastasiya Ivanova
15381,2,5,Artem Lebsak
24708,2,2,Konstantin Salin
18041,2,5,Ilyas Galiev
22568,2,3,Fedor Mayboroda
22567,2,5,Vasiliy Skurydin
8173,2,19,Artur Radzikhovsky
9529,2,5,Elena Kotelnikova
20719,2,4,Anastasiya Yuzhakova
20714,2,2,Viacheslav Volkov
22987,2,4,Tatiana Kaneva
25585,1,1,Yaroslav Podkolzin
25587,1,1,Liana Aminova
23758,1,1,Daria Morozova
23844,1,1,Anton Matveev
24999,1,1,Eduard Arutyunov
25009,1,1,Polina Makhonko
24707,1,2,Roman Yelagin
24711,1,1,Nataliya Babak
24724,1,2,Mariia Ilina
27123,1,1,Viktoriya Zabrovskaya
27118,1,1,Maria Nikolaeva
27115,1,1,ILya Shevcov
27225,1,1,Olga Komarova
27222,1,1,Alexander Pershin
7592,1,13,Marina Motronenko
26053,1,1,Irina Tuchinskaya
26050,1,1,Alisa Petrushina
26198,1,1,Dmitriy Bursh
26208,1,1,Alexandra Kleymenova
26587,1,1,Aleksandr Timonin
26589,1,1,Tatyana Parfenova
26224,1,1,Maria Chicheleva
16632,1,1,Anastasia Andreeva
16924,1,1,Elizaveta Romanova
17099,1,2,Taras Petrenko
19577,1,1,Arina Fedorova
19982,1,7,Olga Aziattseva
12329,1,3,Pavel Kozlov
12652,1,5,Anastasia Telegina
12763,1,2,Yuri Erokhin
12767,1,2,Margarita Perepelkina
10755,1,6,Andrey Shenayev
11027,1,11,Aleksandr Rozhkov
16236,1,1,Karina Jurina
15367,1,6,Yevgeniya Karachentsova
13603,1,13,Artem Shapovalov
13608,1,4,Yuliya Shapovalova
14213,1,5,Raushaniya Maksudova
22569,1,1,Dmitriy Panov
22573,1,1,Marina Kondrateva
22817,1,2,Aleksei Pushkarev
23452,1,3,Yanna Zhdankina
23310,1,1,Anastasia Vanekhina
22986,1,1,Kalaychidi Vladislav
20705,1,1,Klim Borisov
20721,1,1,Julia Kapustina
20787,1,1,Denis Gorbanyev
21220,1,3,Anna Spiridonova
21316,1,1,Olga Kim
